Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TCL1A	7.57456387346608e-47	4.42632245434783	0.116	0.004	1.52332054059276e-42
HCST	2.03500381931407e-20	-2.84274715007466	0.163	0.576	4.09259618102254e-16
FOS	8.79887511809783e-07	-2.14132712166946	0.225	0.412	0.0176954177500066
TGFBI	1.24921748402645e-05	-3.19553172263158	0.039	0.188	0.25123012821256
CD14	5.68577498774017e-05	-3.03136388431971	0.062	0.199	1
S100A9	6.5375001729962e-05	-6.02007875627709	0.008	0.124	1
TIMP3	0.00142936567402682	-5.54922331826992	0.016	0.098	1
PTGDS	0.00148306352392073	-6.73386708051997	0	0.073	1
CD163	0.00184592525748894	-2.90655161867647	0.047	0.14	1
LAPTM5	0.00496729923585053	0.418609406307959	0.752	0.711	1
ACKR1	0.00601215252492579	-2.81974073673055	0.054	0.134	1
MMP9	0.00964790543286095	-4.34251719480593	0.016	0.076	1
C1QC	0.0153968705934285	-2.61408227570731	0.062	0.131	1
CCL2	0.017137804488981	-3.29824852832108	0.054	0.121	1
SIGLEC1	0.0292861508214295	-4.13220410726483	0.016	0.061	1
LGALS9	0.0767171490856267	0.289337295753147	0.078	0.139	1
SORBS2	0.0927074902738498	-1.92272029064339	0.016	0.047	1
SAT1	0.10301847496952	-0.363338283728178	0.326	0.399	1
TMEM212	0.112363525285693	0.362950419998383	0.589	0.574	1
ITGA7	0.200503721532937	-0.32991078499431	0.008	0.026	1
PTPRD	0.224043455163345	-2.38907276921303	0	0.011	1
HMOX1	0.264747539347788	-0.921883728238759	0.054	0.081	1
NT5DC2	0.322138770661901	1.08438764548092	0.07	0.052	1
IGSF9B	0.352447406981698	-0.146353124576219	0.016	0.03	1
FTL	0.358268335729116	-0.506888338661337	0.814	0.824	1
