Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD14	0	5.33132016243631	0.756	0.065	0
TGFBI	0	4.04715422294719	0.72	0.06	0
CD163	0	5.32798020902787	0.588	0.032	0
S100A9	0	6.80333376395689	0.509	0.031	0
FTL	0	3.43860071358974	0.99	0.785	0
SAT1	4.39427071209037e-293	2.78575864713454	0.872	0.286	8.83731782908494e-289
C1QC	1.76872860160445e-287	5.40036691972586	0.496	0.043	3.55709009068671e-283
LGALS9	9.54485666242043e-197	2.74608051067549	0.459	0.062	1.91956612337937e-192
HMOX1	1.0884437489157e-182	4.7102834813358	0.324	0.024	2.18896922344436e-178
SIGLEC1	9.68357558924004e-163	4.74810498151643	0.259	0.013	1.94746388675207e-158
FOS	3.77031438416472e-162	1.75205649283624	0.802	0.315	7.58247925799366e-158
LAPTM5	1.03860049982147e-135	1.20687491772582	0.944	0.659	2.08872946519096e-131
CCL2	6.12497036461109e-74	3.16067468197988	0.299	0.077	1.23179279002694e-69
MMP9	4.32334357976562e-61	4.41158355014171	0.206	0.043	8.69467627326663e-57
NT5DC2	4.83098654646104e-12	0.565313912207548	0.101	0.041	9.7155970435878e-08
SORBS2	1.7553026362539e-08	-3.6815706643217	0.01	0.055	0.000353008913177021
TIMP3	5.24650789135649e-06	-3.0402929479848	0.057	0.105	0.10551252020307
NEDD4	6.79361308173743e-06	-0.509020581227459	0.181	0.112	0.136626352686822
ACKR1	0.000494203717369709	-1.26632235950864	0.178	0.121	1
F5	0.00651238086498783	-0.593646588461696	0.477	0.456	1
TCL1A	0.0131742730398551	2.4654280312665	0.014	0.006	1
HCST	0.077214405190731	-0.590788084273223	0.657	0.542	1
TMEM212	0.20863134865902	-0.267798707826677	0.633	0.561	1
PTGDS	0.481881913127684	0.503817734007661	0.067	0.072	1
IGSF9B	0.511834626868341	-0.78029523196042	0.026	0.03	1
PTPRD	0.642112696057088	-0.694550650370901	0.01	0.011	1
ITGA7	0.89531668630259	-0.656388681100161	0.026	0.025	1
