Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TIMP3	4.57853964184146e-71	2.41413578053819	0.8	0.087	9.20790107370735e-67
FOS	2.90790026599791e-20	1.95074225192382	0.927	0.4	5.8480782249484e-16
HCST	7.82345325648397e-08	-2.60722256648342	0.255	0.567	0.00157337468441149
LAPTM5	1.26029671057603e-07	0.695553583606518	0.964	0.709	0.00253458271463945
OR10A4	4.91818491829717e-07	4.7241529994474	0.018	0	0.00989096168918743
NT5DC2	5.92249000087122e-07	2.2629351799304	0.2	0.05	0.0119107196407521
CCL2	1.30596416808314e-06	1.60007344335584	0.327	0.116	0.02626424538432
SAT1	3.12201208568271e-05	0.799278124883647	0.691	0.393	0.62786785055165
F5	0.00142260720062377	0.372008574057223	0.727	0.457	1
TGFBI	0.0040729030402897	-3.36563800216747	0.036	0.186	1
S100A9	0.0057912862723116	-7.33092451484529	0	0.122	1
FTL	0.00750459289827699	-0.740158144341113	0.964	0.822	1
CD14	0.0120474149916996	-4.17580774931256	0.073	0.197	1
TMEM212	0.027929597579477	0.192840694696379	0.764	0.572	1
SIGLEC1	0.0611296709185704	-3.74184938352621	0	0.06	1
CD163	0.0629515352144221	-2.56717791206854	0.055	0.138	1
HMOX1	0.0847976422610561	-3.19241448500385	0.018	0.081	1
NEDD4	0.11755714043758	0.31795014585069	0.2	0.124	1
PTGDS	0.121455814559335	-3.87886740665972	0.018	0.071	1
C1QC	0.163249631071546	-3.21344056382421	0.073	0.129	1
ITGA7	0.228553825486453	-2.3012262508428	0	0.026	1
SORBS2	0.324875408136757	-1.12242231617976	0.018	0.046	1
LGALS9	0.55342120759824	0.194337475774311	0.164	0.137	1
PTPRD	0.613278989659525	0.47795326868006	0.018	0.011	1
MMP9	0.685259394518906	-2.08407600301586	0.091	0.074	1
IGSF9B	0.777634014385522	-0.463377785057074	0.036	0.029	1
ACKR1	0.849588860894158	-1.23005287546188	0.145	0.132	1
