Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ITGA7	1.20721631365663e-173	5.00237001917215	0.302	0.01	2.42783272839485e-169
LAPTM5	2.82610547888752e-75	-4.79408974523059	0.157	0.745	5.6835807285907e-71
NT5DC2	1.32671094193932e-66	3.28425479602262	0.289	0.038	2.66814837533416e-62
PTPRD	1.42348377306823e-53	4.3315373078022	0.112	0.005	2.86276821601752e-49
TIMP3	2.94189922869391e-52	3.14423762014135	0.368	0.08	5.91645353882633e-48
HCST	4.88986991337495e-45	-4.19206825552075	0.136	0.588	9.83401738278836e-41
SORBS2	1.20957271348981e-37	2.02306633042493	0.215	0.036	2.43257168409936e-33
FOS	2.2868424017779e-22	1.02993086371869	0.711	0.389	4.59906875421553e-18
CCL2	8.53759318411084e-19	1.41514001448234	0.298	0.108	1.71699536525653e-14
LGALS9	3.06730526187428e-07	-3.40595479781651	0.029	0.143	0.00616865761215537
S100A9	5.77125634705329e-07	-6.59440740285517	0.021	0.127	0.0116065736395589
CD14	1.7860048974775e-05	-3.42165834895135	0.103	0.201	0.3591834449317
C1QC	6.88481950783744e-05	-3.66113152409307	0.05	0.133	1
CD163	7.25949679271992e-05	-3.79178034469357	0.058	0.142	1
F5	8.33944003553614e-05	-0.988617748892868	0.401	0.463	1
SAT1	0.000263045565355982	-1.98376394299419	0.376	0.398	1
TMEM212	0.00157735592154602	-0.756109830152894	0.583	0.574	1
MMP9	0.00212603360682902	-4.51930024900392	0.025	0.077	1
SIGLEC1	0.00743471533761775	-3.23097934300798	0.021	0.062	1
HMOX1	0.00962214027102992	-2.01372245105712	0.037	0.083	1
NEDD4	0.0163958107742786	-0.283109690784803	0.182	0.122	1
ACKR1	0.0183360597062168	-2.13677696460465	0.087	0.135	1
FTL	0.0309877939867758	-1.02064328319094	0.95	0.816	1
IGSF9B	0.280737695317554	-0.358353926875872	0.041	0.029	1
