Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD14	1.68726248058461e-173	-4.23394605565815	0.048	0.379	3.39325357470371e-169
FOS	8.56838508925416e-170	-2.04314994768344	0.226	0.631	1.7231879252999e-165
FTL	5.99056389500744e-161	-2.52654083922276	0.745	0.92	1.20476230492495e-156
TGFBI	7.13097158614132e-134	-2.96906396376431	0.055	0.344	1.43410969568888e-129
CD163	9.65293303137577e-129	-3.94403496622774	0.025	0.276	1.94130136193998e-124
SAT1	1.27067532011608e-107	-1.82322472639133	0.257	0.57	2.55545513628544e-103
S100A9	1.71406460533245e-98	-5.31567842476297	0.029	0.235	3.44715532778409e-94
LGALS9	1.332922482564e-93	-2.05528690905042	0.04	0.258	2.68064040468446e-89
C1QC	8.99166648867573e-87	-3.98666025606507	0.041	0.237	1.80831404753758e-82
TIMP3	2.96428660213943e-79	-4.12699596181617	0.021	0.188	5.96147678556261e-75
CCL2	9.12643671727608e-70	-3.83168428862917	0.042	0.214	1.83541768821139e-65
HMOX1	1.02708435332518e-68	-3.91341388213401	0.016	0.161	2.06556934297227e-64
HCST	2.32486517189416e-57	1.03647990124444	0.633	0.478	4.67553634719635e-53
SIGLEC1	2.67129859364582e-50	-3.25850012516953	0.012	0.118	5.3722486016811e-46
NT5DC2	1.78333981957597e-43	-2.67194397510126	0.011	0.104	3.58647471114924e-39
SORBS2	1.71832746622748e-38	-2.83510551622157	0.009	0.092	3.45572836733009e-34
ITGA7	4.24869061473612e-22	-2.73845382395791	0.005	0.051	8.54454169529581e-18
MMP9	3.42267983152581e-21	-3.01000433550865	0.041	0.115	6.88335140918155e-17
ACKR1	3.5532575348123e-19	-1.90723673694075	0.09	0.184	7.14595622826101e-15
PTGDS	3.89580294877334e-15	-2.46395102571828	0.043	0.105	7.83484931027807e-11
NEDD4	4.31725365952748e-12	0.275519742201678	0.09	0.169	8.68242883467571e-08
PTPRD	6.41599125713782e-09	-2.27689791738865	0.003	0.021	0.000129032000172299
TCL1A	8.57692112955701e-06	-4.83801389311376	0.002	0.014	0.172490460836521
TMEM212	9.64528639060977e-05	0.419973257860806	0.554	0.6	1
LAPTM5	0.290810471883861	-0.126984137160758	0.745	0.672	1
IGSF9B	0.735046469255923	0.683128241184503	0.03	0.029	1
F5	0.854812667751034	0.299088205882744	0.431	0.496	1
