gene_ensembl symbol
ENSG00000036530 CYP46A1
ENSG00000069869 NEDD4
ENSG00000080854 IGSF9B
ENSG00000087086 FTL
ENSG00000088827 SIGLEC1
ENSG00000100234 TIMP3
ENSG00000100292 HMOX1
ENSG00000100721 TCL1A
ENSG00000100985 MMP9
ENSG00000107317 PTGDS
ENSG00000108691 CCL2
ENSG00000120708 TGFBI
ENSG00000126264 HCST
ENSG00000129538 RNASE1
ENSG00000130066 SAT1
ENSG00000135424 ITGA7
ENSG00000141665 FBXO15
ENSG00000145721 LIX1
ENSG00000153707 PTPRD
ENSG00000154556 SORBS2
ENSG00000159189 C1QC
ENSG00000162511 LAPTM5
ENSG00000163220 S100A9
ENSG00000163631 ALB
ENSG00000164265 SCGB3A2
ENSG00000165105 RASEF
ENSG00000168268 NT5DC2
ENSG00000168961 LGALS9
ENSG00000170345 FOS
ENSG00000170458 CD14
ENSG00000170782 OR10A4
ENSG00000177212 OR2T33
ENSG00000177575 CD163
ENSG00000186329 TMEM212
ENSG00000198695 ND6
ENSG00000198734 F5
ENSG00000212907 ND4L
ENSG00000213088 ACKR1
ENSG00000223417 TRIM49D1
ENSG00000228253 ATP8
