Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
TIMP3	1.62751893599608e-164	3.52745717629102	0.459	0.049	2.58010576923458e-160
LAPTM5	8.55511532076893e-112	-3.92443616783971	0.118	0.756	1.3562424318015e-107
SORBS2	2.19647396479845e-106	4.28874127802578	0.239	0.018	3.48207017639498e-102
HCST	5.32700779102595e-69	-4.67143267721318	0.052	0.552	8.44490545111344e-65
ACKR1	1.21447338080206e-63	4.41333372361889	0.354	0.087	1.9253046505855e-59
PTGDS	3.29401107833384e-20	1.85274627630574	0.168	0.05	5.22199576248263e-16
TGFBI	1.47630273868804e-14	-3.84223802958009	0.022	0.177	2.34038273164215e-10
TMEM212	6.02502241545668e-14	-0.859244454885776	0.316	0.512	9.55146803522347e-10
C1QC	2.66354137781831e-11	-5.55024014075777	0.008	0.124	4.22251214625537e-07
CD163	6.8241284098664e-10	-3.90077324054984	0.022	0.131	1.08182907681612e-05
S100A9	7.87623750968175e-10	-6.1623728426444	0.008	0.109	1.24861993240985e-05
FOS	2.84148477606055e-09	0.724149114431555	0.495	0.351	4.5046058154888e-05
FTL	2.91169917951483e-09	-1.67667787834868	0.857	0.879	4.61591670928485e-05
F5	1.64402803339766e-08	0.744765277206109	0.516	0.386	0.000260627764134532
SAT1	1.39312666619971e-06	-0.97835026583851	0.25	0.36	0.022085237039264
CD14	1.19725147621074e-05	-2.33150011388066	0.099	0.179	0.189800276523689
SIGLEC1	0.000231711064025502	-2.83324924635283	0.008	0.051	1
HMOX1	0.00564929561241405	-2.12603099558068	0.03	0.067	1
ITGA7	0.0173167738066613	-2.26620865362894	0.003	0.021	1
MMP9	0.0716621079907465	-2.72649723400268	0.038	0.061	1
NEDD4	0.131995169029113	0.166750753647169	0.118	0.093	1
CCL2	0.258217699896663	-0.274511957360147	0.115	0.097	1
IGSF9B	0.468821839698956	-0.148751072080761	0.019	0.025	1
PTPRD	0.635837274560136	0.488678848534532	0.011	0.009	1
LGALS9	0.679696017462513	-0.103778188733549	0.113	0.104	1
