Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FCER1A	1.31924547173886e-57	4.93569627457701	0.589	0.057	2.09139984634762e-53
CD1C	1.8247490377124e-55	5.49349644431564	0.523	0.042	2.89277464948546e-51
NAPSB	2.08953423521024e-47	3.55281753525084	0.673	0.115	3.31253862307879e-43
CLEC10A	6.8878989533745e-44	3.45034324066225	0.701	0.164	1.09193862107846e-39
GNAO1	3.51788098847163e-41	1.97359596310964	0.991	0.706	5.57689673102407e-37
CD1E	1.0456643838832e-36	6.60712286604764	0.243	0.004	1.65769174777003e-32
FTL	3.73050650431505e-35	-2.1713535610721	0.972	0.996	5.91397196129066e-31
FLT3	2.95679877496181e-34	4.98368621751185	0.262	0.01	4.68741309794697e-30
CTSD	3.46444252978741e-34	-4.0256134915474	0.262	0.833	5.49218074247198e-30
PPA1	6.81742204574526e-34	2.97092476288799	0.551	0.104	1.080765916912e-29
CTSB	3.59912374948938e-33	-2.69463692644594	0.729	0.964	5.70569088006551e-29
CD74	1.48913862478675e-31	1.13978947383113	1	0.999	2.36073146187444e-27
CST3	4.047733404809e-31	1.73912629525466	0.991	0.933	6.41687176664371e-27
CPVL	4.5546962374749e-31	2.25733462610689	0.879	0.44	7.22055994526895e-27
CLEC9A	6.70788268062314e-29	7.12000768872463	0.187	0.003	1.06340064135919e-24
PSAP	2.67678999256766e-26	-1.35245591590643	0.981	0.975	4.24351517521752e-22
PARM1	1.25853272590487e-24	4.94415785332521	0.187	0.007	1.995151930377e-20
TMSB4X	3.16199584967084e-23	0.824737409261834	1	0.996	5.01271202048318e-19
IDO1	3.51011749175917e-22	4.73770697585778	0.215	0.016	5.56458925968582e-18
FGL2	8.37860760371228e-22	1.37616498901145	0.888	0.444	1.32826066341651e-17
CD14	2.85299638464661e-21	-2.24110883504618	0.355	0.769	4.52285516858027e-17
C5AR1	1.00856717067995e-19	-2.90993132654537	0.112	0.611	1.59888153567893e-15
LGALS2	1.70781700998885e-19	2.55184043054645	0.43	0.108	2.70740230593533e-15
TMSB10	8.05804116520739e-19	0.699439660332316	0.991	0.993	1.27744126592033e-14
NAP1L1	9.02173666655985e-19	1.29950591336986	0.869	0.542	1.43021591374973e-14
PABPC1	1.1595476077968e-18	0.849814144342454	1	0.91	1.83823082264026e-14
MAFB	1.37245696279196e-18	-1.97631571455624	0.355	0.753	2.1757560231141e-14
EEF1G	2.23998790450169e-18	1.03691019917239	0.963	0.755	3.55105282500654e-14
SPINT2	2.88502453580917e-18	1.66763378580941	0.664	0.284	4.57362939661828e-14
GLUL	1.14020521565647e-17	-2.01214106069117	0.467	0.786	1.80756732838021e-13
LYZ	5.08737659003998e-17	1.08897806297795	0.963	0.837	8.06501810819039e-13
CD68	6.31032016464171e-17	-1.79950239341501	0.439	0.787	1.00037505570065e-12
CLIC2	8.25431822081334e-17	2.30956458487945	0.336	0.072	1.30855706754554e-12
NDRG2	9.17453566816435e-17	3.02948990712497	0.252	0.04	1.45443913947409e-12
CLEC4F	1.1779284742764e-16	4.70023227043912	0.121	0.004	1.86737001027038e-12
SLC38A1	1.34034858370313e-16	2.81487483638024	0.234	0.033	2.12485460974457e-12
JAML	3.73115335489005e-16	1.62436550278184	0.645	0.299	5.91499741350719e-12
FCGR2B	4.36879628031394e-16	1.84716437433675	0.551	0.219	6.9258527431817e-12
COTL1	1.32836420892978e-15	0.932031571650798	0.944	0.743	2.10585578041637e-11
S100B	1.48837260477473e-15	4.69623033988162	0.187	0.022	2.35951709034939e-11
WDFY4	2.04779594554304e-15	3.33611173949101	0.364	0.101	3.24637091246939e-11
SLC6A2	2.19449559104569e-15	3.69177069169092	0.187	0.022	3.47893386048474e-11
TYROBP	6.85228919772251e-15	-0.826147005203691	0.85	0.985	1.08629340651495e-10
EDEM1	7.19795768919137e-15	1.9388635536557	0.374	0.1	1.14109223246751e-10
GPNMB	2.65732372288645e-14	-3.99239348673734	0.121	0.492	4.21265529789188e-10
ATP6V0C	3.4046947111514e-14	-1.21540539631499	0.673	0.854	5.39746252558832e-10
APOE	3.46024900072209e-14	-5.10330691999321	0.112	0.484	5.48553274084473e-10
CTSL	4.61268016120198e-14	-4.05760217500201	0.093	0.471	7.3124818595535e-10
HNRNPA1	4.69547817269435e-14	1.15442860194944	0.729	0.406	7.44374154717235e-10
MARCKS	5.73296094939949e-14	-1.52742284797821	0.346	0.697	9.08846299308301e-10
