Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPP1	5.94523539937394e-93	4.00480146535336	0.939	0.249	9.42498167862751e-89
CSTB	6.79790629873596e-72	3.24920077753387	0.934	0.447	1.07767208553861e-67
APOC1	1.72709871740894e-59	2.76070625036423	0.802	0.212	2.73796959670839e-55
VIM	2.37235678326291e-57	1.61266935504252	1	0.931	3.7608972085067e-53
PKM	6.66256194955828e-56	1.59074887463836	0.995	0.808	1.05621594586347e-51
FABP5	7.87707632998007e-54	2.77970876877357	0.832	0.316	1.24875291059174e-49
HLA-DPA1	2.11766668559389e-53	-2.47447824654148	0.817	0.963	3.35713699667199e-49
CD74	4.8133422852312e-53	-1.80264237528815	0.995	1	7.63059152477702e-49
MMP19	1.28076315808859e-52	4.25034603677122	0.518	0.061	2.03039383451784e-48
S100A10	2.95812275438134e-52	1.85339832615656	0.964	0.667	4.68951200252073e-48
MMP9	4.33421337069588e-52	4.53115808831118	0.508	0.059	6.87102845656417e-48
ENO1	7.03422761753534e-51	1.67556039524481	0.964	0.715	1.11513610420788e-46
ALDOA	1.26865710873909e-49	2.00496723818759	0.919	0.53	2.01120211448408e-45
HLA-DRA	2.90193637700184e-48	-1.90102352428007	0.914	0.986	4.60043973846102e-44
FBP1	3.30201426246166e-47	2.92854571389223	0.721	0.223	5.23468321028047e-43
CTSL	9.71766616009028e-46	2.68871307250263	0.787	0.312	1.54054161635911e-41
SDC2	4.583483441202e-43	3.17069567188846	0.579	0.132	7.26619629933752e-39
HLA-DRB1	5.3863202994397e-43	-1.86364762231256	0.888	0.967	8.53893357070176e-39
EMP1	1.69711394304008e-41	3.18980449483617	0.503	0.083	2.69043473390144e-37
GPNMB	1.94438514094862e-41	1.48772161587862	0.848	0.321	3.08243376394584e-37
FN1	2.08602149665887e-41	3.03924481826079	0.665	0.212	3.3069698786533e-37
LDHA	2.27118077661006e-41	1.97513311056377	0.863	0.464	3.60050288515993e-37
S100A11	3.40743693566339e-41	1.17860287852769	0.995	0.917	5.40180977410717e-37
GAPDH	3.60000160382354e-41	1.494712789019	0.985	0.913	5.70708254254146e-37
LGALS1	1.34621476134686e-39	1.50567790358426	0.949	0.678	2.13415426116318e-35
MS4A6A	5.18226407187257e-39	-2.88618443270279	0.249	0.735	8.21544323313958e-35
CTSB	2.30564800344802e-37	1.3742290659736	1	0.914	3.65514377986614e-33
LGALS3	2.65828239001937e-37	2.02670701274108	0.883	0.494	4.21417507289771e-33
CTSD	1.04982963679428e-36	1.54304813018974	0.949	0.702	1.66429492320997e-32
SLC39A8	1.5364113762683e-36	3.39344857172782	0.406	0.055	2.43567295479814e-32
PLIN2	2.34451743082917e-36	2.61337724668984	0.675	0.238	3.71676348309349e-32
HLA-DQA1	9.80631692599876e-36	-2.78439791255351	0.36	0.765	1.55459542227858e-31
IL1RN	6.65996746529174e-35	3.80279972090613	0.523	0.131	1.0558046422727e-30
MPEG1	1.07100624403067e-34	-2.46304047816581	0.234	0.717	1.69786619866182e-30
CD63	1.31663193355287e-34	1.37029351047263	0.949	0.718	2.08725660426137e-30
APOE	2.35947378452887e-33	1.65753941720468	0.772	0.333	3.74047379061362e-29
FGL2	2.46501154623235e-33	-3.05983046247402	0.117	0.618	3.90778280424214e-29
HLA-DMB	5.19937626378621e-33	-2.1742359375615	0.279	0.734	8.24257119098029e-29
CHI3L1	5.65250531687708e-33	4.72229957566319	0.391	0.062	8.96091667884523e-29
TUBA1C	6.65597900466026e-32	1.91258418275906	0.65	0.227	1.05517235160879e-27
SLC18A1	2.01158562605569e-31	1.84298290589543	0.655	0.234	3.18896669298608e-27
ANXA5	3.05786058017295e-31	1.3321444909305	0.909	0.679	4.84762637774818e-27
CST3	2.65772858975908e-30	-1.43962685498581	0.919	0.947	4.21329713334507e-26
FTL	2.91635793129761e-30	1.37970329499987	1	0.991	4.6233022284861e-26
GSTO1	6.83954450550451e-30	1.50211458716193	0.766	0.377	1.08427299045763e-25
GNAO1	7.00511354939735e-30	-2.40245049845134	0.558	0.799	1.11052065098596e-25
SCD	1.23524539960389e-29	2.22705589013274	0.538	0.148	1.95823453199205e-25
CCL7	3.6827667562602e-29	6.16380928630322	0.208	0.005	5.8382901386993e-25
CD109	8.72801882887185e-29	3.06107118071397	0.355	0.058	1.38365282494105e-24
S100A6	1.15212031360463e-28	1.13584805194466	0.98	0.782	1.82645633315742e-24
