Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
S100A8	5.1497471172765e-89	5.03753319859701	0.819	0.154	8.16389410501844e-85
FCN1	1.95438758966672e-78	3.26942719169105	0.867	0.218	3.09829064589865e-74
S100A9	1.65417355229654e-70	4.3340981702492	0.843	0.294	2.62236133245571e-66
SERPINA1	7.17226033559522e-54	1.96310547876931	0.919	0.566	1.13701843100191e-49
S100A12	4.10294203352731e-49	4.98122006570344	0.39	0.021	6.50439400575085e-45
CFP	7.03431054087683e-46	2.71556495971051	0.595	0.126	1.1151492500452e-41
COTL1	2.27606631354803e-44	1.4892261250941	0.933	0.714	3.60824792686769e-40
VCAN	2.89387534756427e-44	2.47849304786549	0.729	0.264	4.58766058849364e-40
APOBEC3A	1.10537502278622e-37	3.20782228005002	0.333	0.024	1.752351023623e-33
C1QC	1.31988186365823e-37	-4.4692413994293	0.081	0.59	2.09240871845739e-33
S100A4	1.18018500917391e-36	1.20745158055137	0.962	0.72	1.8709472950434e-32
FPR1	4.23139534202446e-32	2.12888710744207	0.638	0.243	6.70803103571137e-28
CTSS	2.38530807829409e-31	1.26172770535137	0.943	0.866	3.78142889651962e-27
C1QB	2.48694957673127e-31	-3.68026737960073	0.157	0.596	3.94256116399209e-27
C1QA	1.02973722608031e-30	-3.31517476679235	0.152	0.593	1.63244242450512e-26
CTSB	1.23413325406956e-30	-1.82118926075419	0.881	0.952	1.95647144767647e-26
GPNMB	1.97215653689456e-30	-4.12803736438175	0.119	0.553	3.12645975793895e-26
DAB2	2.6068239452652e-28	-2.88536378759839	0.124	0.566	4.13259800042891e-24
MSR1	1.29377003916092e-27	-2.73696559416621	0.2	0.601	2.0510136430818e-23
VSIG4	1.69833504141509e-27	-3.02548143887988	0.11	0.536	2.69237054115535e-23
CSTA	2.37563233252451e-27	1.96902543378793	0.529	0.165	3.76608993675111e-23
LGMN	6.43930586773813e-27	-4.43446522310086	0.067	0.477	1.02082315921253e-22
PLTP	1.53221656030572e-26	-2.89751948959093	0.205	0.612	2.42902291305266e-22
RIPOR2	3.32490212249276e-25	2.64495496746751	0.376	0.083	5.27096733478777e-21
CD74	4.28750253990277e-25	-1.1913490279813	1	0.998	6.79697777650786e-21
LST1	2.51574489537737e-23	1.52195030817526	0.724	0.424	3.98821038264175e-19
SLCO2B1	2.13761478675767e-22	-2.79370518969657	0.076	0.447	3.38876072144694e-18
APOE	4.36001424443824e-22	-4.23612737332068	0.176	0.523	6.91193058170795e-18
LILRP2	8.8049630383512e-22	3.1315639352268	0.262	0.04	1.39585079046982e-17
CD300E	1.07365903249317e-21	2.07665952988683	0.405	0.114	1.70207166421143e-17
NELL1	1.98321129447046e-21	-3.90516934460988	0.033	0.378	3.14398486512401e-17
CD81	2.55492836400003e-21	-1.60997438872923	0.41	0.725	4.05032793544924e-17
APOC1	3.2093690500021e-21	-4.51208956284575	0.09	0.437	5.08781275496832e-17
TUBA1B	4.57666084865104e-21	-1.2668867313294	0.567	0.841	7.2553804433665e-17
GNAO1	1.44485567359104e-20	-1.71743340164295	0.571	0.8	2.29052969934388e-16
LYZ	1.58827240692297e-20	1.10607851941769	0.938	0.825	2.51788824669499e-16
NPC2	5.54896121276388e-20	-0.980726461673056	0.681	0.893	8.79676821059458e-16
GSN	2.79073415931551e-19	-1.67318968373289	0.31	0.649	4.42415086276288e-15
CD63	2.86404489535278e-19	-1.26938404031525	0.6	0.83	4.54037037260276e-15
CLEC12A	4.88511695906896e-19	2.69229518038767	0.267	0.051	7.74437591521202e-15
CD9	6.85663335415717e-19	-2.93803726978869	0.076	0.407	1.08698208563454e-14
LMNA	9.3914495489592e-19	-2.36360112436932	0.152	0.486	1.4888264969965e-14
CDA	1.09562321472153e-18	2.97261720752918	0.233	0.037	1.73689148229805e-14
NBEAL2	2.08993082864787e-18	2.62706480857162	0.281	0.06	3.31316734265546e-14
CASP1	4.01502210695041e-18	1.90932119434293	0.433	0.161	6.36501454614849e-14
RAB27A	1.54024276147945e-17	2.42460584298092	0.286	0.067	2.44174684977337e-13
CYBB	1.78524927643118e-17	0.933544290268783	0.838	0.62	2.83015567792634e-13
PRAM1	2.03037786086572e-17	2.17479298150719	0.329	0.092	3.21875802283042e-13
TNFRSF1B	2.8567105270108e-17	1.22918786045096	0.719	0.501	4.52874319847022e-13
CSF3R	3.80180966608039e-17	2.57844610335144	0.467	0.207	6.02700886363725e-13
