Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MZB1	3.59742157112264e-128	8.60147758750417	0.789	0.002	5.70299241670072e-124
PTPRS	2.44810462280476e-126	9.05604345096965	0.737	0.001	3.88098025853238e-122
TCL1A	4.13537684699485e-116	10.857817340764	0.632	0	6.55581291554093e-112
GZMB	1.07644418708035e-108	9.55256798702323	1	0.017	1.70648696977848e-104
LILRA4	8.57191864170423e-107	6.01651508678302	0.632	0.001	1.35890626226937e-102
NIBAN3	1.44049285159056e-105	7.86451199333797	0.737	0.005	2.28361331762651e-101
CLIC3	1.84605539329814e-103	7.26162758461955	0.789	0.007	2.92655161499555e-99
MAP1A	1.7934625981238e-90	7.20916016472541	0.684	0.006	2.84317625680566e-86
TLR9	1.51972490009883e-83	7.60147758750417	0.579	0.004	2.40921988412667e-79
SCAMP5	2.54455810219347e-77	6.35755200461808	0.684	0.01	4.0338879594073e-73
TSPAN13	3.3613205738077e-76	6.85378558674491	0.842	0.021	5.32870150565735e-72
SMPD3	5.6928620543334e-70	6.9169794132321	0.632	0.01	9.02489421473473e-66
CXCR3	8.63308722108267e-69	7.37908516616773	0.579	0.007	1.36860331715824e-64
ZFAT	2.08987220438349e-61	6.34909042586989	0.579	0.01	3.31307440560915e-57
PACSIN1	3.06936131095175e-60	7.01651508678302	0.474	0.005	4.86585848625181e-56
LRRC26	1.40903043079815e-58	8.60147758750417	0.316	0	2.23373594194431e-54
LAMP5	6.72187647586576e-53	7.306021703978	0.368	0.002	1.065619077719e-48
JCHAIN	8.70542960805122e-53	7.02791985005527	0.895	0.046	1.38007175576436e-48
TRAF4	6.39281182964419e-52	6.01651508678302	0.474	0.007	1.01345245935349e-47
DERL3	7.43564483401328e-51	6.35755200461808	0.526	0.011	1.17877277553613e-46
EPHA2	4.70345884103204e-49	8.23890750811946	0.263	0	7.45639330068809e-45
GPM6B	4.70345884103204e-49	8.23890750811946	0.263	0	7.45639330068809e-45
KRT5	4.70345884103204e-49	8.23890750811946	0.263	0	7.45639330068809e-45
SHD	4.70345884103204e-49	8.43155258606186	0.263	0	7.45639330068809e-45
RHEX	1.33785922725163e-41	5.14775962006127	0.632	0.026	2.12090823296201e-37
LGALS13	8.06509797676971e-36	4.58588073245316	0.895	0.079	1.2785599822573e-31
TMIGD2	9.05496986950179e-34	5.75348068094922	0.368	0.009	1.43548437341212e-29
SLA2	1.0615369957046e-33	5.8465900853407	0.368	0.009	1.6828545992905e-29
C12orf75	4.07959486635845e-32	5.43155258606186	0.526	0.024	6.46738174163805e-28
SLC12A3	1.11035279366215e-31	7.23890750811946	0.211	0.001	1.7602422837926e-27
BCL11A	1.37018126408853e-31	5.5190154273122	0.737	0.06	2.17214835795955e-27
SPIB	3.97393565650661e-31	4.826690527903	0.789	0.072	6.29988019625993e-27
ITM2C	5.27630818710485e-31	5.5353883970464	0.737	0.061	8.36453136901732e-27
SEL1L3	1.70325461960939e-30	4.63009826544394	0.737	0.06	2.70016954846676e-26
KCNK17	4.82053282581513e-30	7.75348068094922	0.158	0	7.64199068876472e-26
PTCRA	4.82083216876662e-30	7.43155258606186	0.158	0	7.64246523714572e-26
SCARA5	4.82083216876662e-30	8.23890750811946	0.158	0	7.64246523714572e-26
UGCG	6.14843422124849e-29	4.34040469800367	0.842	0.089	9.74711277094523e-25
PLXNA4	3.63752532372055e-27	5.69458699189566	0.263	0.005	5.76656889569418e-23
IRF7	4.67342554968595e-27	5.01651508678302	0.895	0.123	7.40878152391713e-23
PLD4	4.85812342473807e-27	4.93895410348936	0.842	0.1	7.70158306523727e-23
CCDC50	5.53287937517787e-26	4.27168124928347	0.947	0.141	8.77127367346948e-22
SETBP1	4.17790328253974e-25	4.43155258606186	0.421	0.02	6.62323007381025e-21
RUNX2	2.56267777007681e-23	4.14204596886688	0.579	0.046	4.06261306890277e-19
FAM30A	1.17574669727269e-22	6.75348068094922	0.158	0.001	1.8639112391864e-18
IL18R1	2.47170373989461e-22	5.89098420469916	0.263	0.007	3.91839193885493e-18
COBLL1	2.78466108993563e-22	5.43155258606186	0.263	0.007	4.41452322587495e-18
OFD1	3.05757638163967e-21	3.86676796727833	0.684	0.076	4.84717583781337e-17
CYFIP2	1.01539203809959e-20	3.46631800422254	0.684	0.073	1.60970099799929e-16
CLEC4C	1.53561743509793e-20	7.01651508678302	0.105	0	2.43441431986075e-16
