Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
C1QA	1.77034385142014e-104	3.62475404466711	0.918	0.233	2.80652610765634e-100
C1QC	2.79111335178442e-102	3.40984307209433	0.908	0.206	4.42475199658384e-98
C1QB	1.90650760727987e-99	3.57867260466365	0.908	0.244	3.02238650982078e-95
SLCO2B1	3.85897905843878e-63	2.81979744529984	0.703	0.154	6.11763950134299e-59
SLC40A1	1.60235148340141e-51	4.06837620490698	0.503	0.064	2.54020780663626e-47
CD74	4.80490971387756e-49	0.963703439313288	1	0.998	7.6172233694101e-45
FOLR2	2.8189015314001e-47	4.1866623123736	0.438	0.039	4.46880459772858e-43
MSR1	2.31379051142014e-45	1.82689517788545	0.801	0.328	3.66805209775435e-41
MS4A6A	4.71498791283648e-43	1.57942533767497	0.876	0.475	7.47467033821966e-39
MARCKS	6.15492157615028e-41	1.43566969521074	0.886	0.518	9.75739717467104e-37
MAF	1.38939705893512e-40	2.50023332295976	0.592	0.171	2.20261115752985e-36
ACTB	7.44933114752628e-40	-0.886997416097971	1	1	1.18094246681734e-35
DAB2	6.87256250142442e-39	1.9128839880542	0.732	0.296	1.08950733335081e-34
CD52	4.03520488892733e-38	-3.25711161778976	0.105	0.548	6.39701031041649e-34
ITM2B	7.96233981746648e-38	1.06856661696539	0.987	0.865	1.26226973126296e-33
MS4A4A	6.94590238504815e-36	1.57755314475977	0.804	0.454	1.10113390510168e-31
GPR34	6.09771647928183e-35	3.64336413825533	0.35	0.036	9.66670993460548e-31
TMEM176B	3.40411081210038e-34	1.87176490898776	0.693	0.304	5.39653687042274e-30
S100A8	3.43247990257047e-33	-5.04622014697002	0.072	0.463	5.44151038954497e-29
FCGR2A	7.60759043103782e-33	1.90731621608691	0.67	0.298	1.20603131103243e-28
FCN1	1.92813119893387e-32	-3.30014703576393	0.131	0.523	3.05666638966986e-28
S100A6	4.029719592172e-32	-1.10310168656193	0.667	0.921	6.38831446947027e-28
STAB1	1.64357654902903e-30	2.11307164570482	0.562	0.193	2.60556190317572e-26
VSIG4	3.31351346784946e-30	1.56964944522665	0.676	0.287	5.25291290058175e-26
PLTP	5.01745580791032e-30	1.86702430575498	0.722	0.388	7.95417269228023e-26
AKR1B1	1.20027437396307e-29	2.45373788342926	0.428	0.099	1.90279496504365e-25
CD14	2.91430252000953e-29	1.02422990134208	0.928	0.595	4.62004378497111e-25
FLNA	2.96713197575616e-29	-1.58590792103103	0.288	0.679	4.70379432116624e-25
CD163	4.23017682263345e-29	1.52991300039723	0.781	0.413	6.70609931692081e-25
CSF1R	6.75517887610966e-29	1.20163452135149	0.856	0.535	1.07089850722966e-24
CXCL12	4.64246593370194e-28	5.08071179925926	0.242	0.011	7.35970124469768e-24
C3AR1	1.55682171161927e-27	1.75202369962146	0.565	0.21	2.46802945943002e-23
COTL1	4.01856175758346e-27	-1.44183362116016	0.654	0.835	6.37062595429705e-23
SDC3	7.04613717908327e-27	2.31341659503185	0.431	0.116	1.11702412700007e-22
TMEM176A	7.45352306969133e-27	1.5956724287963	0.578	0.22	1.18160701223817e-22
CD81	2.12868071835579e-26	1.25919988035385	0.814	0.55	3.37459754280943e-22
PFN1	2.98227930076316e-26	-0.672742729168801	0.954	0.996	4.72780737549984e-22
GAPDH	8.26216719464256e-26	-1.1693388860773	0.895	0.949	1.30980136536669e-21
TMEM37	8.41855276707754e-25	2.8908016890381	0.297	0.045	1.3345931701648e-20
C2	2.55329257767244e-24	2.42919331318794	0.379	0.096	4.04773472338412e-20
IGF1	3.02301250892145e-24	5.08600609892877	0.209	0.009	4.79238173039317e-20
F13A1	6.7484161969248e-24	2.44889231615651	0.467	0.167	1.06982641969849e-19
LSP1	8.7624278938282e-24	-1.29309091489533	0.441	0.737	1.38910769400858e-19
FGR	3.85789633102954e-23	-1.83083305045413	0.248	0.576	6.11592305358113e-19
CFL1	5.92864755347435e-23	-0.625495589071907	0.961	0.991	9.39868496652289e-19
CPM	5.98632766365098e-23	1.76645565765468	0.529	0.218	9.4901252451859e-19
S100A10	6.97711921499171e-23	-1.24395902490673	0.592	0.82	1.10608270915263e-18
A2M	1.41405636730919e-22	2.08490690265397	0.422	0.135	2.24170355909526e-18
LCP1	1.49570711999485e-22	-0.724984913283247	0.85	0.949	2.37114449732784e-18
GNAO1	1.51008210014056e-22	0.677184835075231	0.902	0.651	2.39393315335283e-18
