Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HCST	2.88105613197092e-28	0.890051988372779	0.757	0.49	4.5673382860135e-24
FTL	4.07951327784806e-20	-1.99747867292732	0.799	0.884	6.46725239937253e-16
TGFBI	3.0854054360786e-17	-5.69711364206493	0.006	0.178	4.8912932378154e-13
SAT1	3.030489371207e-15	-1.95500818574353	0.17	0.366	4.80423480017446e-11
CD14	6.545375886033e-14	-3.81930141311687	0.031	0.185	1.03763843921281e-09
PTGDS	1.89738985144563e-12	2.17238245503399	0.142	0.053	3.00793213149676e-08
CD163	1.19220014036196e-09	-3.72171796590023	0.022	0.131	1.88999488251582e-05
C1QC	4.4140087502904e-08	-3.93368584833522	0.028	0.122	0.000699752807183538
LAPTM5	4.56130533917481e-07	-0.666766531323956	0.69	0.705	0.00723103735419383
TIMP3	4.5662886030435e-06	-3.60992109496824	0.02	0.088	0.0723893732240486
S100A9	5.61867946873868e-05	-4.13088377992764	0.042	0.106	0.890729256179143
HMOX1	5.81532346755734e-05	-2.74784224646487	0.014	0.068	0.921903229311865
FOS	0.000104063055172712	-0.833074901693265	0.279	0.37	1
CCL2	0.000120805979205357	-3.28288687337269	0.042	0.103	1
LGALS9	0.000225298275381564	-1.20006813078699	0.047	0.11	1
SIGLEC1	0.000721913121314329	-2.48070986639643	0.011	0.051	1
MMP9	0.0152884376147313	-3.09198643851865	0.031	0.062	1
SORBS2	0.0204846622645494	-1.49804938787651	0.014	0.038	1
TMEM212	0.0369882041831026	0.100296619235101	0.561	0.49	1
NT5DC2	0.040314557633392	-1.06265417555468	0.017	0.038	1
ACKR1	0.0459665288507423	-1.51157144366164	0.078	0.111	1
NEDD4	0.101394652118794	0.310902319115422	0.12	0.093	1
ITGA7	0.121198990198098	-1.21314580208213	0.008	0.02	1
F5	0.177718497650044	-0.174106799696676	0.372	0.399	1
IGSF9B	0.492866599600063	-0.305404309934115	0.02	0.025	1
